黄厚生	95	70	91	57	49	49	82	92	82	54	80
郭巍	92	72	71	94	60	60	68	64	70	67	48
熊炜	49	57	46	75	59	94	56	80	75	60	93
陈锡乾	70	81	58	88	81	54	60	93	75	52	51
张梅珍	83	50	63	56	95	94	85	90	59	81	56
夏增明	65	50	78	91	55	58	87	99	52	94	65
陈敏章	84	99	48	66	96	89	75	63	86	74	74
徐亮	85	94	51	68	98	86	61	63	78	75	95
陈德俊	71	87	59	61	63	97	75	95	66	86	55
朱磊	61	99	76	75	74	58	87	85	86	90	86
杨锐鹏	99	64	49	67	46	99	91	99	68	97	91
柯学	81	85	60	81	60	61	61	62	50	69	97
邓小华	68	68	54	99	99	97	73	85	83	50	77
李珉	59	64	61	47	95	74	65	80	76	80	57
郭春明	54	79	47	97	65	91	62	81	70	93	90
李金山	82	59	59	91	66	75	46	84	63	79	91
未写名	56	90	87	98	59	71	75	91	55	78	73
谢宏	77	53	76	82	65	54	47	77	51	46	98
章蛮	79	97	48	58	96	81	68	81	64	71	57
高平	90	47	59	89	96	86	71	53	91	81	62
好心人	57	49	82	88	79	97	83	84	50	55	52
时晶	88	66	98	70	96	87	63	77	99	51	79
林起泰	81	89	92	96	45	57	78	79	75	66	87
